5.70E+02,4.21E+02,,,,,,,,,,,,,,,,,,
1.03E+03,5.70E+02,,,,,,,,,,,,,,,,,,
1.57E+02,4.75E+02,,,,,,,,,,,,,,,,,,
2.50E+02,4.00E+02,,,,,,,,,,,,,,,,,,
1.68E+02,5.88E+02,,,,,,,,,,,,,,,,,,
1.03E+03,8.11E+02,,,,,,,,,,,,,,,,,,
2.52E+02,4.00E+02,,,,,,,,,,,,,,,,,,
1.06E+02,8.38E+02,,,,,,,,,,,,,,,,,,
1.36E+03,4.00E+02,,,,,,,,,,,,,,,,,,
1.83E+03,8.87E+02,,,,,,,,,,,,,,,,,,
4.70E+02,8.98E+02,,,,,,,,,,,,,,,,,,
3.90E+02,8.70E+02,,,,,,,,,,,,,,,,,,
3.90E+02,8.19E+02,,,,,,,,,,,,,,,,,,
2.03E+03,6.18E+02,,,,,,,,,,,,,,,,,,
2.80E+02,4.00E+02,,,,,,,,,,,,,,,,,,
3.85E+02,5.40E+02,,,,,,,,,,,,,,,,,,
3.90E+02,7.42E+02,,,,,,,,,,,,,,,,,,
1.72E+03,8.66E+02,,,,,,,,,,,,,,,,,,
7.80E+02,8.65E+02,,,,,,,,,,,,,,,,,,
2.10E+01,6.89E+02,,,,,,,,,,,,,,,,,,
3.90E+02,6.10E+02,,,,,,,,,,,,,,,,,,
1.27E+03,4.63E+02,,,,,,,,,,,,,,,,,,
5.72E+02,5.38E+02,,,,,,,,,,,,,,,,,,
3.92E+02,8.90E+02,,,,,,,,,,,,,,,,,,
2.47E+02,4.00E+02,,,,,,,,,,,,,,,,,,
2.75E+02,4.00E+02,,,,,,,,,,,,,,,,,,
8.30E+02,5.98E+02,,,,,,,,,,,,,,,,,,
1.25E+03,6.07E+02,,,,,,,,,,,,,,,,,,
1.03E+03,5.85E+02,,,,,,,,,,,,,,,,,,
1.83E+03,4.07E+02,,,,,,,,,,,,,,,,,,
5.03E+02,9.00E+02,,,,,,,,,,,,,,,,,,
1.34E+03,9.00E+02,,,,,,,,,,,,,,,,,,
2.32E+02,7.38E+02,,,,,,,,,,,,,,,,,,
1.47E+03,8.64E+02,,,,,,,,,,,,,,,,,,
2.26E+02,4.00E+02,,,,,,,,,,,,,,,,,,
3.90E+02,8.47E+02,,,,,,,,,,,,,,,,,,
4.88E+02,4.56E+02,,,,,,,,,,,,,,,,,,
2.62E+02,4.00E+02,,,,,,,,,,,,,,,,,,
1.72E+03,6.44E+02,,,,,,,,,,,,,,,,,,
2.55E+02,4.00E+02,,,,,,,,,,,,,,,,,,
3.85E+02,5.76E+02,,,,,,,,,,,,,,,,,,
1.96E+03,5.48E+02,,,,,,,,,,,,,,,,,,
2.03E+03,5.63E+02,,,,,,,,,,,,,,,,,,
3.85E+02,8.19E+02,,,,,,,,,,,,,,,,,,
2.55E+02,4.00E+02,,,,,,,,,,,,,,,,,,
8.32E+02,8.20E+02,,,,,,,,,,,,,,,,,,
